date,rank,symbol,name,weight_pct
2026-07-23,1,NVDA,NVIDIA CORP,7.96
2026-07-23,2,AAPL,APPLE INC,7.42
2026-07-23,3,MSFT,MICROSOFT CORP,4.5
2026-07-23,4,AMZN,AMAZON.COM INC,3.72
2026-07-23,5,GOOGL,ALPHABET INC CL A,3.11
2026-07-23,6,AVGO,BROADCOM INC,2.91
2026-07-23,7,GOOG,ALPHABET INC CL C,2.51
2026-07-23,8,META,META PLATFORMS INC CLASS A,2.14
2026-07-23,9,MU,MICRON TECHNOLOGY INC,1.68
2026-07-23,10,TSLA,TESLA INC,1.63
2026-07-24,1,NVDA,NVIDIA CORP,7.96
2026-07-24,2,AAPL,APPLE INC,7.42
2026-07-24,3,MSFT,MICROSOFT CORP,4.5
2026-07-24,4,AMZN,AMAZON.COM INC,3.72
2026-07-24,5,GOOGL,ALPHABET INC CL A,3.11
2026-07-24,6,AVGO,BROADCOM INC,2.91
2026-07-24,7,GOOG,ALPHABET INC CL C,2.51
2026-07-24,8,META,META PLATFORMS INC CLASS A,2.14
2026-07-24,9,MU,MICRON TECHNOLOGY INC,1.68
2026-07-24,10,TSLA,TESLA INC,1.63
